dataset,image_id,condition,filename,source_url,mean_intensity,total_fluorescence,area_pixels,integrated_density,object_count,coverage_fraction,threshold,background_mean,background_std,signal_to_background,quality_flag
BBBC053,dmso_1,DMSO,MAX_DMSO_ (1) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,0.9481400847434998,794853.3125,838329,794853.3291029334,218,0.1998732089996338,0.517578125,0.10697797685861588,0.10461162030696869,8.040732613489947,usable
BBBC053,dmso_11,DMSO,MAX_DMSO_ (11) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,0.9395752549171448,954048.5,1015404,954048.4721438885,288,0.24209117889404297,0.513671875,0.10901214927434921,0.10720396041870117,7.747431671062018,usable
BBBC053,dmso_12,DMSO,MAX_DMSO_ (12) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,0.9306021928787231,696425.4375,748360,696425.4570627213,411,0.1784229278564453,0.501953125,0.09696891158819199,0.10577830672264099,7.880872990370056,usable
BBBC053,dmso_13,DMSO,MAX_DMSO_ (13) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,0.9425084590911865,694599.5,736969,694599.5165879726,332,0.17570710182189941,0.498046875,0.09097355604171753,0.10057675093412399,8.466434128231837,usable
BBBC053,dmso_14,DMSO,MAX_DMSO_ (14) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,0.9409531950950623,665188.0625,706930,665188.0422085524,475,0.16854524612426758,0.513671875,0.10268954187631607,0.10614664852619171,7.897147651009022,usable
BBBC053,dmso_15,DMSO,MAX_DMSO_ (15) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,0.9311333894729614,911678.3125,979106,911678.2884333134,469,0.23343706130981445,0.509765625,0.10265988856554031,0.11544351279735565,7.176378338238333,usable
BBBC053,dmso_16,DMSO,MAX_DMSO_ (16) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,0.9311333894729614,911678.3125,979106,911678.2884333134,469,0.23343706130981445,0.509765625,0.10265988856554031,0.11544351279735565,7.176378338238333,usable
BBBC053,dmso_17,DMSO,MAX_DMSO_ (17) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,0.9292393922805786,870783.75,937093,870783.7298303843,694,0.2234203815460205,0.513671875,0.111133873462677,0.11646769940853119,7.024252206580203,usable
BBBC053,dmso_18,DMSO,MAX_DMSO_ (18) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,0.9330107569694519,725755.5,777864,725755.4794592857,486,0.1854572296142578,0.490234375,0.07953247427940369,0.10132375359535217,8.42319623197384,usable
BBBC053,dmso_19,DMSO,MAX_DMSO_ (19) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,0.9320674538612366,945804.25,1014738,945804.2639962435,615,0.24193239212036133,0.509765625,0.09615187346935272,0.11504781246185303,7.265747142492671,usable
BBBC053,dmso_2,DMSO,MAX_DMSO_ (2) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,0.8486394286155701,495951.65625,584408,495951.6711983681,82,0.13933372497558594,0.447265625,0.05858495831489563,0.076094850897789,10.382359366240161,usable
BBBC053,dmso_20,DMSO,MAX_DMSO_ (20) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,0.9321410655975342,651693.375,699136,651693.3760375977,555,0.16668701171875,0.505859375,0.07698416709899902,0.10395947098731995,8.22578899823221,usable
BBBC053,dmso_21,DMSO,MAX_DMSO_ (21) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,0.9338030815124512,813148.25,870792,813148.2529563904,666,0.2076129913330078,0.505859375,0.09749464690685272,0.11236114054918289,7.442973500843298,usable
BBBC053,dmso_22,DMSO,MAX_DMSO_ (22) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,0.9346647262573242,918587.5625,982799,918587.558300972,339,0.23431754112243652,0.505859375,0.09736384451389313,0.10888141393661499,7.68995516788284,usable
